ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
1	"Mefv"	"Mefv"	chr16	-	3707214	3708097	3707214	3708032	3708544	3708837
2	"Pdcd6ip"	"Pdcd6ip"	chr9	-	113685306	113685438	113685306	113685423	113687624	113687725
3	"Cdc7"	"Cdc7"	chr5	+	106979294	106979444	106979315	106979444	106976629	106976712
4	"Cdk13"	"Cdk13"	chr13	-	17719355	17719805	17719355	17719625	17721087	17721293
5	"Pnpla6"	"Pnpla6"	chr8	+	3523998	3524166	3524010	3524166	3523757	3523867
6	"Adra1a"	"Adra1a"	chr14	+	66636990	66638460	66637453	66638460	66635250	66635603
7	"Adra1a"	"Adra1a"	chr14	+	66636980	66638460	66637453	66638460	66635250	66635603
8	"Adra1a"	"Adra1a"	chr14	+	66636980	66638460	66636990	66638460	66635250	66635603
9	"Fabp5"	"Fabp5"	chr3	+	10016066	10016610	10016069	10016610	10015471	10015573
10	"Tcf7l2"	"Tcf7l2"	chr19	+	55917338	55917479	55917353	55917479	55912558	55912645
11	"Hipk2"	"Hipk2"	chr6	-	38730868	38731076	38730868	38730995	38737357	38737520
12	"Hipk2"	"Hipk2"	chr6	-	38721454	38721597	38721454	38721594	38729920	38730042
13	"Eps8"	"Eps8"	chr6	-	137539321	137539401	137539321	137539396	137570701	137571009
14	"Trp53"	"Trp53"	chr11	+	69591253	69591873	69591349	69591873	69590655	69590762
15	"Tatdn3"	"Tatdn3"	chr1	-	191045829	191046336	191045829	191046320	191049281	191049362
16	"Ciita"	"Ciita"	chr16	+	10503866	10503947	10503869	10503947	10503665	10503728
17	"Ciita"	"Ciita"	chr16	+	10503866	10503947	10503869	10503947	10502135	10502231
18	"Nrip2"	"Nrip2"	chr6	+	128407983	128408935	128408204	128408935	128407685	128407738
19	"Rnf41"	"Rnf41"	chr10	+	128438807	128441441	128439512	128441441	128438082	128438459
20	"Cfb"	"Cfb"	chr17	-	34857003	34857136	34857003	34857132	34857218	34857319
21	"Mid1ip1"	"Mid1ip1"	chrX	+	10717983	10719702	10717986	10719702	10717364	10717704
22	"Zfp68"	"Zfp68"	chr5	-	138616469	138616565	138616469	138616559	138617054	138617167
23	"Prom2"	"Prom2"	chr2	-	127528745	127528818	127528745	127528776	127529131	127529238
24	"Pdpk1"	"Pdpk1"	chr17	-	24073679	24079142	24073679	24073750	24079491	24079644
25	"Csn2"	"Csn2"	chr5	-	87696027	87696072	87696027	87696069	87696153	87696177
26	"Fxyd1"	"Fxyd1"	chr7	-	31054305	31054434	31054305	31054370	31055550	31055656
