ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
1	"NFU1"	"NFU1"	chr2	-	69437270	69437628	69437360	69437628	69431901	69432005
2	"ZRANB3"	"ZRANB3"	chr2	-	135227811	135228015	135227817	135228015	135224425	135224517
3	"ZRANB3"	"ZRANB3"	chr2	-	135530497	135530730	135530525	135530730	135504328	135504496
4	"ZNF625"	"ZNF625"	chr19	-	12147675	12147802	12147679	12147802	12147394	12147455
5	"HOPX"	"HOPX"	chr4	-	56656299	56656522	56656343	56656522	56655856	56656012
6	"NWD1"	"NWD1"	chr19	+	16744420	16745147	16744420	16744718	16749138	16750411
7	"TAZ"	"TAZ"	chrX	+	154413206	154413358	154413206	154413252	154413481	154413567
8	"TAZ"	"TAZ"	chrX	+	154411517	154412006	154411517	154411952	154412085	154412214
9	"PGS1"	"PGS1"	chr17	+	78419545	78419725	78419545	78419675	78424060	78424659
10	"BABAM1"	"BABAM1"	chr19	+	17267375	17267527	17267375	17267516	17268793	17269091
11	"CD28"	"CD28"	chr2	+	203726632	203726989	203726632	203726698	203729647	203729772
12	"CBFB"	"CBFB"	chr16	+	67082212	67082339	67082212	67082308	67098709	67101055
13	"LOC100132304"	"LOC100132304"	chrX	-	72938475	72938651	72938487	72938651	72938162	72938298
14	"C9orf72"	"C9orf72"	chr9	-	27573708	27573866	27573786	27573866	27566676	27567164
15	"SLC35A2"	"SLC35A2"	chrX	-	48911545	48911958	48911858	48911958	48909813	48909996
16	"SLC35A2"	"SLC35A2"	chrX	-	48911506	48911958	48911858	48911958	48909813	48909996
17	"SLC35A2"	"SLC35A2"	chrX	-	48911506	48911958	48911545	48911958	48909813	48909996
18	"SLC35A2"	"SLC35A2"	chrX	-	48911506	48911958	48911545	48911958	48906391	48906543
19	"LGI1"	"LGI1"	chr10	+	93790098	93790233	93790098	93790170	93792742	93792912
20	"LGI1"	"LGI1"	chr10	+	93757808	93758368	93757808	93758359	93758759	93758831
21	"PITRM1"	"PITRM1"	chr10	-	3148167	3148291	3148170	3148291	3147986	3148063
22	"AKAP8L"	"AKAP8L"	chr19	-	15403474	15403715	15403657	15403715	15401149	15401603
23	"LYN"	"LYN"	chr8	+	55941854	55941991	55941854	55941928	55946447	55946493
24	"USP43"	"USP43"	chr17	+	9701351	9701700	9701351	9701685	9709955	9710114
25	"HNF4A"	"HNF4A"	chr20	+	44428334	44428487	44428334	44428457	44429522	44432845
26	"TTC26"	"TTC26"	chr7	+	139134654	139134792	139134654	139134721	139137846	139137939
27	"C19orf84"	"C19orf84"	chr19	-	51390348	51390574	51390477	51390574	51388288	51389509
28	"BCO2"	"BCO2"	chr11	+	112214761	112214944	112214761	112214926	112216219	112216330
29	"ERC1"	"ERC1"	chr12	+	991207	991487	991207	991322	1027747	1028572
30	"GMNN"	"GMNN"	chr6	+	24774930	24775244	24774930	24775036	24777221	24777297
31	"GMNN"	"GMNN"	chr6	+	24774930	24775244	24774930	24775112	24777221	24777297
32	"GMNN"	"GMNN"	chr6	+	24774930	24775112	24774930	24775036	24777221	24777297
33	"AAGAB"	"AAGAB"	chr15	-	67254413	67254736	67254558	67254736	67236629	67236820
34	"PLAGL1"	"PLAGL1"	chr6	-	143965849	143966198	143966157	143966198	143964786	143964818
35	"PLAGL1"	"PLAGL1"	chr6	-	144064450	144064599	144064467	144064599	143968906	143968978
36	"VCPKMT"	"VCPKMT"	chr14	-	50116068	50116179	50116079	50116179	50115838	50115911
37	"CCDC66"	"CCDC66"	chr3	+	56566593	56566759	56566593	56566740	56566949	56567053
38	"CCDC66"	"CCDC66"	chr3	+	56557155	56557253	56557155	56557234	56558845	56558910
39	"MRPL10"	"MRPL10"	chr17	-	47831310	47831541	47831459	47831541	47828500	47828670
40	"CLEC4G"	"CLEC4G"	chr19	-	7732047	7732171	7732083	7732171	7731660	7731771
41	"TCEAL4"	"TCEAL4"	chrX	+	103586218	103586301	103586218	103586291	103586648	103587736
42	"TCEAL4"	"TCEAL4"	chrX	+	103585484	103585683	103585484	103585624	103586218	103586291
43	"ZNF511"	"ZNF511"	chr10	+	133310163	133310288	133310163	133310229	133311715	133311841
44	"MYO7A"	"MYO7A"	chr11	+	77211820	77211937	77211820	77211931	77212951	77213035
45	"TNRC6C"	"TNRC6C"	chr17	+	78048844	78051457	78048844	78051448	78064721	78064937
46	"GPC3"	"GPC3"	chrX	-	133953049	133953211	133953097	133953211	133753481	133754176
47	"RUSC2"	"RUSC2"	chr9	+	35546429	35548535	35546429	35548210	35555059	35555701
48	"CARF"	"CARF"	chr2	+	202912217	202913102	202912217	202912324	202917876	202918043
49	"MORC2"	"MORC2"	chr22	-	30928018	30928207	30928027	30928207	30926610	30926871
50	"EVX1"	"EVX1"	chr7	+	27242544	27243457	27242544	27243402	27245047	27245304
51	"TADA3"	"TADA3"	chr3	-	9792215	9793011	9792821	9793011	9791259	9791493
52	"DOC2A"	"DOC2A"	chr16	-	30006784	30006948	30006855	30006948	30006595	30006677
53	"DOC2A"	"DOC2A"	chr16	-	30008995	30009105	30009003	30009105	30007172	30007299
54	"CWF19L1"	"CWF19L1"	chr10	-	100267525	100267681	100267570	100267681	100261978	100262063
55	"HAGLR"	"HAGLR"	chr2	-	176178002	176178129	176178014	176178129	176177331	176177494
56	"HAGLR"	"HAGLR"	chr2	-	176177710	176178129	176178014	176178129	176177331	176177494
57	"HAGLR"	"HAGLR"	chr2	-	176177710	176178129	176178002	176178129	176177331	176177494
58	"HAGLR"	"HAGLR"	chr2	-	176178002	176178129	176178014	176178129	176177710	176177821
59	"VPS51"	"VPS51"	chr11	+	65107802	65108024	65107802	65108022	65108196	65108914
60	"STK31"	"STK31"	chr7	+	23710325	23710770	23710325	23710738	23712098	23712145
61	"CNOT6L"	"CNOT6L"	chr4	-	77819232	77819390	77819303	77819390	77776270	77776392
62	"CXorf58"	"CXorf58"	chrX	+	23938546	23938700	23938546	23938694	23939243	23939507
63	"TMPRSS11A"	"TMPRSS11A"	chr4	-	67944509	67944637	67944518	67944637	67931992	67932060
64	"KRBOX4"	"KRBOX4"	chrX	+	46463197	46463308	46463197	46463293	46472749	46474639
65	"KRBOX4"	"KRBOX4"	chrX	+	46463197	46463308	46463197	46463293	46471141	46471185
66	"FAM86JP"	"FAM86JP"	chr3	+	125916600	125916817	125916600	125916719	125918863	125918926
67	"KRT8"	"KRT8"	chr12	-	52949455	52949866	52949714	52949866	52904657	52905027
68	"C20orf78"	"C20orf78"	chr20	-	18830018	18830203	18830042	18830203	18825265	18825348
69	"CASP12"	"CASP12"	chr11	-	104891169	104891404	104891197	104891404	104890373	104890523
70	"LINC00207"	"LINC00207"	chr22	+	44570499	44570624	44570499	44570588	44571375	44571492
71	"PAXBP1"	"PAXBP1"	chr21	-	32755212	32755353	32755229	32755353	32751118	32751218
72	"JKAMP"	"JKAMP"	chr14	+	59484442	59485116	59484442	59484593	59486712	59486804
73	"SLAIN1"	"SLAIN1"	chr13	+	77744282	77744516	77744282	77744432	77746513	77746855
74	"SFTPC"	"SFTPC"	chr8	+	22163882	22164059	22163882	22164051	22164265	22164478
75	"HTR3E"	"HTR3E"	chr3	+	184104181	184104369	184104181	184104291	184104786	184104956
76	"PGAP2"	"PGAP2"	chr11	+	3824269	3824376	3824269	3824364	3825019	3825128
77	"PGAP2"	"PGAP2"	chr11	+	3824269	3824455	3824269	3824376	3825019	3825128
78	"PGAP2"	"PGAP2"	chr11	+	3824269	3824449	3824269	3824376	3825019	3825128
79	"PGAP2"	"PGAP2"	chr11	+	3824269	3824455	3824269	3824364	3825019	3825128
80	"PGAP2"	"PGAP2"	chr11	+	3824269	3824449	3824269	3824364	3825019	3825128
81	"PGAP2"	"PGAP2"	chr11	+	3824269	3824455	3824269	3824449	3825019	3825128
82	"ZC2HC1C"	"ZC2HC1C"	chr14	+	75070554	75071911	75070554	75071396	75077531	75079987
83	"SCIMP"	"SCIMP"	chr17	-	5223332	5223456	5223353	5223456	5221286	5221350
84	"CD4"	"CD4"	chr12	+	6814141	6814300	6814141	6814278	6814758	6814992
85	"CD4"	"CD4"	chr12	+	6814141	6814313	6814141	6814278	6814758	6814992
86	"CD4"	"CD4"	chr12	+	6814141	6814313	6814141	6814300	6814758	6814992
87	"MROH7"	"MROH7"	chr1	+	54641739	54641968	54641739	54641962	54651948	54651983
88	"LINC00161"	"LINC00161"	chr21	+	28539317	28539884	28539317	28539528	28540052	28540355
89	"MYCN"	"MYCN"	chr2	+	15940437	15941053	15940437	15940743	15941947	15942854
90	"MAP4K5"	"MAP4K5"	chr14	-	50532399	50532658	50532447	50532658	50531941	50532158
